track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,artist_avg_streams,total_playlists,chart_appearances_count,key_A,key_A#,key_B,key_C#,key_D,key_D#,key_E,key_F,key_F#,key_G,key_G#,key_Unknown,mode_Major,mode_Minor,release_date
Rush,Troye Sivan,-0.6230716545900549,-0.5493310257436901,3.37276431123986,-0.8676168452169848,0.03689780964640058,1.6420012693538297,-0.2966415540440114,-0.2762264104490927,1.5070759473248976,0.12336739208650656,0.48078116800496856,-0.7001471421331499,1.192181827974853,-1.0413847988438365,-0.18813199633449962,-0.5263424504426943,-0.41696567796704703,-0.7398421180661934,-0.5239105520549266,1.204465457275986,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2023-07-13
TULUM,"Peso Pluma, Grupo Frontera",0.4972817167765908,-0.6250899033894268,1.1239329878143036,-0.8151720035723746,-0.5534064175570244,2.6300718940186694,-0.32938659006755894,0.8841680379803135,0.8906515707744481,1.6210632476080478,-0.7501621388543205,0.4929511617611583,1.3735401256326216,0.4596292715288027,-0.18813199633449962,-0.5263424504426943,-0.5178974257706019,-0.6598726028703263,-0.6009013457479313,1.204465457275986,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2023-06-28
Creepin',"The Weeknd, 21 Savage, Metro Boomin",1.6176350881432364,0.10589458493147814,3.883862339291123,0.5821458959685307,0.5230307026374564,1.918661044259985,-0.12406636419017976,3.370727570329041,-0.18967981080881352,-0.875096511594521,0.27562395019508706,-1.4671389089223479,-0.19823178740137387,0.34416665073090735,-0.18813199633449962,-0.745256192923879,-0.5178974257706019,-0.3341621098511214,0.08314951075186951,1.204465457275986,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2022-12-02
Anti-Hero,Taylor Swift,-0.6230716545900549,0.49178344999655205,2.2483486495270815,0.8571229508743495,2.0161531596814135,1.7803311568069073,-0.1948664420789312,1.0499386734702287,1.6087541950033222,-0.9107559367259862,-0.20307622469463646,-0.01837668276497378,-0.07732625562952807,-0.5795343156522552,-0.18813199633449962,0.05742752950713134,-0.5178974257706019,-0.3128538154413508,0.4305059341918832,1.204465457275986,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2022-10-21
TQG,"Karol G, Shakira",0.4972817167765908,-0.11606119037843961,1.8905800298911977,0.18506976318774307,0.5461798880179829,1.4048643194342683,-0.17805142358035272,2.5418743928794654,1.88836937611899,2.0489763491856308,0.34400968946504756,0.40772985434013626,-0.07732625562952807,1.5372803989758257,-0.18813199633449962,-0.6722849454301508,1.8035327737111617,-0.2674761325005406,-0.1201016953385553,1.204465457275986,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2023-02-23
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",7.219401944976465,-0.5130985190435551,0.9706035793989247,-0.690157436653294,-0.5302572321764979,-0.37366280496244303,-0.3108015696217617,0.7183974024903984,0.8080379945357282,-0.09058915870228504,0.9594813428946921,0.4929511617611583,0.22493757380008647,-0.6180218559182203,-0.18813199633449962,-0.5263424504426943,-0.6188291735741569,-0.8311759468840605,-0.499107395486189,1.204465457275986,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2023-06-01
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",0.4972817167765908,-0.5736549463255988,1.1239329878143036,-0.5739981816355385,-0.5649810102472875,1.1084431320348165,-0.3196515793578556,1.0499386734702287,0.9859749279729713,0.9791935952416729,-0.408233442504518,-0.5297045272911058,0.527201403229701,0.3826541909968725,-0.18813199633449962,-0.5263424504426943,-0.7197609213777119,-0.7848356294787894,-0.5542130510303075,1.204465457275986,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2023-04-07
Blank Space,Taylor Swift,-0.6230716545900549,0.7897514771249348,2.095019241111703,1.4858495310553914,0.9975890029382489,1.4048643194342683,0.021958796455370085,-0.11045577495917751,0.15348427510586962,-0.9464153618574515,0.5491669072749291,0.23728723949809225,0.22493757380008647,-0.6949969364501506,-0.18813199633449962,-0.38039995545523797,-0.41696567796704703,-0.3128538154413508,0.7120947117075518,1.204465457275986,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2014-01-01
Style,Taylor Swift,-0.6230716545900549,0.3331712178686885,1.5328114102553139,0.48016947600701476,0.30311344152245495,1.1677273695147068,-0.2072564557094627,0.22108549602065283,0.15983916558577116,-0.9820747869889167,-0.4766191817744785,-0.14620864389650678,0.8899179985452385,-1.0413847988438365,-0.18813199633449962,-0.45337120294896616,-0.6188291735741569,-0.3128538154413508,0.2718106247430369,1.204465457275986,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2014-01-01
TQM,Fuerza Regida,-0.6230716545900549,-0.5848034099256404,0.8172741709835459,-0.5958494322243328,-0.5997047883180773,2.116275169192953,-0.32761658812034017,0.5526267670004832,0.2742271942239989,0.0877079669550413,0.8227098643547711,1.8991027342080213,1.252634593860776,-0.0022212116627786187,-0.18813199633449962,-0.5263424504426943,-0.41696567796704703,-0.7855410943429751,-0.565436198798967,1.204465457275986,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2023-05-19
El Azul,"Junior H, Peso Pluma",0.4972817167765908,-0.5711212045983166,0.6639447625681671,-0.2817746680529011,-0.6691523444596567,1.0886817195415197,-0.3355815968828247,0.055314860530737656,0.032741355987740375,0.7652370444528813,-0.7501621388543205,1.3877748896818893,0.04357927614231775,-0.15617137272663906,-0.18813199633449962,-0.5993136979364226,-0.41696567796704703,-0.7115319586172317,-0.5549986713741136,1.204465457275986,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2023-02-10
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",0.4972817167765908,2.393609990494546,3.37276431123986,4.048931373985608,3.520850209415634,1.2862958444744876,0.40516421802823727,0.22108549602065283,0.07722558934705115,-1.160371912646243,0.6175526465448896,1.6860494656554663,-0.8632122121465259,1.0369423755182794,-0.18813199633449962,-0.8182274404176072,-0.5178974257706019,1.1586434402487928,2.206007911193827,1.204465457275986,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2018-10-09
I'm Good (Blue),"Bebe Rexha, David Guetta",0.4972817167765908,0.9225195436345203,3.4749839168501127,1.0507212567984918,2.583308201504312,2.6103104815253726,0.13435392010376299,7.017681551107174,4.258743525122264,0.1946862423494371,-0.7501621388543205,-0.5723151810016168,1.9780677844918508,-0.8874346377799761,-0.18813199633449962,1.2249674894067828,-0.6188291735741569,0.6873175497385883,0.8593424104323654,1.204465457275986,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2022-08-26
See You Again,"Tyler, The Creator, Kali Uchis",1.6176350881432364,1.0371713567940384,2.6572270719680917,0.9407029510333705,0.10634536578797998,0.12037250736997678,-0.12229636224296098,-0.2762264104490927,1.6151090854832237,-1.552625589092361,-0.7501621388543205,0.27989789320860325,-0.5004956168309884,0.3826541909968725,-0.18813199633449962,-0.5263424504426943,-0.01323868675282725,-0.29460732294337466,0.9043472329846902,1.204465457275986,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2017-07-21
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",1.6176350881432364,-0.5172791928935706,3.4749839168501127,-0.7924701674825891,0.16421832923929616,1.8396153942867977,-0.2833665394398705,2.2103331218996347,6.838829059962289,0.7652370444528813,0.6859383858148501,1.0042790062872904,-0.3795900850591426,0.959967294986349,-0.18813199633449962,0.3493125194820442,1.500737530300497,-1.0350161566541713,-0.49259796978036646,1.204465457275986,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2023-06-23
Angels Like You,Miley Cyrus,-0.6230716545900549,-0.23159981314250638,0.35728594573740946,0.09950881364969259,-0.03254974649517882,-0.07724161756299115,-0.2187614683663848,-0.2762264104490927,0.28693697518380196,-0.019270308439354504,0.0020809931152450402,-0.10359799018599579,-0.016873489743605155,-0.6565093961841855,-0.18813199633449962,-0.5993136979364226,-0.7197609213777119,1.0961899220035431,-0.23323102484664376,1.204465457275986,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2020-11-27
I Ain't Worried,OneRepublic,-0.6230716545900549,0.40931015677351756,3.2705447056296073,1.0088055116846457,2.0045785669911504,1.4839099694074556,0.06443884318862095,5.691516467187853,1.748561785561156,0.6225993439270203,0.27562395019508706,1.3025535822608674,1.0108235303170843,-0.6180218559182203,-0.18813199633449962,-0.8911986879113355,-0.5178974257706019,2.621790644895994,0.39021483370239535,1.204465457275986,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2022-05-13
Die For You,The Weeknd,-0.6230716545900549,-0.34422463292019867,2.4016780579424606,2.0012967267401076,0.002174031575610884,-0.6107997548820046,-0.3196515793578556,-0.44199704593900785,1.2846547805283437,0.4086427931382287,-0.545004921044439,-0.01837668276497378,-0.7423066803746801,-0.6949969364501506,-0.18813199633449962,-0.23445746046778151,-0.31603393016349207,0.3472854410952345,-0.34546250253323946,0.41664419386897533,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2016-11-24
Starboy,"The Weeknd, Daft Punk",0.4972817167765908,3.083041114488023,3.4238741140449864,3.620790982612987,2.4675622746016797,1.6815240943404235,1.8229357777504849,-0.2762264104490927,0.5284228134200605,2.2629328999744227,0.07046673238520554,-0.10359799018599579,-0.3191373191732197,-0.4255841545883948,-0.18813199633449962,-0.38039995545523797,1.8035327737111617,1.7381340055400492,2.986353375548727,1.204465457275986,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2016-09-21
Die For You - Remix,"Ariana Grande, The Weeknd",0.4972817167765908,-0.22703907803339848,1.7883604242809452,0.008132748444793307,0.2220912926906123,0.673692057182287,-0.275401530677386,-0.2762264104490927,-0.25958360608773046,-1.9805386906699443,-0.955319356664202,-0.06098733647548478,-0.6818539144887571,-0.15617137272663906,-0.18813199633449962,1.8817087168503368,-0.31603393016349207,0.7382922103485947,-0.23390441371276335,1.204465457275986,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2023-02-24
El Cielo,"Feid, Myke Towers, Sky Rompiendo",1.6176350881432364,-0.49434883026166704,1.3283721990348087,-0.7172835768813252,-0.2756161929907067,0.23894098232975752,-0.29044654722874563,1.2157093089601438,0.3377760990230143,-0.5898211105427987,0.34400968946504756,-1.4671389089223479,-0.016873489743605155,-0.7719720169820807,-0.18813199633449962,-0.5993136979364226,-0.5178974257706019,-0.8410860849658055,-0.47744672029267604,1.204465457275986,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2023-06-02
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",1.6176350881432364,-0.11694799998298837,2.7594466775783446,-0.5937539934759399,0.8934176687258798,1.1677273695147068,-0.15238639534568033,1.381479944450059,4.786199434954092,0.1946862423494371,-0.4766191817744785,-1.211474986659282,1.6153511891763133,-1.0413847988438365,-0.18813199633449962,-0.45337120294896616,-0.7197609213777119,-0.5896760099818483,-0.11426565849885233,1.204465457275986,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2023-04-06
AMARGURA,Karol G,-0.6230716545900549,-0.515252199511745,1.379482001839935,-0.6367656629923751,-0.6228539736986037,0.3772708697828351,-0.320536580331465,1.2157093089601438,0.7571988706965159,-0.5541616854113335,1.7117244748642577,0.15206593207707023,0.34584310557193226,-0.3486090740564646,-0.18813199633449962,-0.23445746046778151,-0.31603393016349207,-0.38268851676970445,-0.5031477286829065,1.204465457275986,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2023-02-24
